"Fertility and socio-economic data of Switzerland, 1870",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
The fertility of women per district is to be modelled as a function of,,,,,,,,,,,,,,,,,,,,,,,,
socio-economic variables.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Dimension: 182 districts, 25 variables",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
fertility,fertTotal,infantMort,catholic,single24,single49,eAgric,eIndustry,eCommerce,eTransport,eAdmin,german,french,italian,romansh,gradeHigh,gradeLow,educHigh,bornLocal,bornForeign,sexratio,canton,district,altitude,language
48,22.4,16.4,7.74,80.5,16.2,60.9,31.5,3.4,1.9,2.1,99.63,0.26,0.1,0.02,24,14,30,60,1.9,956,Zurich,Affoltern,low,german
62.5,29.2,16.3,6.68,85,19.3,66.7,26,1.8,2.3,3,99.71,0.13,0.05,0.04,22,9,29,67.6,3.4,963,Zurich,Andelfingen,low,german
65.5,30.3,20.2,2.78,83.3,15.1,57.3,34.1,2.7,3.2,2.6,99.82,0.07,0.07,0.01,17,14,24,67.8,2.3,939,Zurich,Bulaech,low,german
61.5,32.9,20.7,3.98,78,8.5,71.7,22.1,1.4,2.1,2.7,99.53,0.19,0.26,0,20,13,24,66.1,1.9,1024,Zurich,Dielsdorf,low,german
51.5,25.1,19.2,9.58,76.7,12.3,36,55.9,3,3.1,1.9,99.39,0.14,0.44,0.02,23,12,23,49.8,3.2,896,Zurich,Hinwil,middle,german
52.4,23.3,20,11.18,80.2,19.9,33.7,52.8,5.7,4.7,2.5,98.83,0.39,0.65,0.06,28,13,43,47.5,5.4,879,Zurich,Horgen,low,german
48.6,21.6,16.8,5.48,81.1,19.8,52.5,35.7,4.8,4,2.8,99.03,0.32,0.47,0.02,30,11,32,50.1,4,898,Zurich,Meilen,low,german
53.3,24.8,21.3,2.52,80.5,11.1,51.6,39.7,2.8,3.6,2.1,99.67,0.09,0.2,0.03,25,12,22,61.4,2.1,907,Zurich,Pfaeffikon,middle,german
53,23.5,19.6,5.22,81.7,15.2,52.1,38.9,3.2,3.5,2.2,99.3,0.16,0.53,0.01,25,9,27,55,2.8,875,Zurich,Uster,low,german
57,28,17.7,10.17,81.5,10.4,28.9,56.2,6.2,5.1,3.2,98.69,0.45,0.55,0.04,27,9,38,44.4,7.4,978,Zurich,Winterthur,low,german
54.5,25.5,19.4,20.72,82.9,16.9,12.8,50.9,17.4,10.9,7.2,96.6,1.26,1.07,0.14,41,8,56,28.2,16.7,897,Zurich,Zurich,low,german
81.7,42.8,18.3,0.36,72.1,13.7,62.5,29.4,3,2,3,99.4,0.58,0.02,0,14,12,10,60.1,0.3,1049,Berne,Aarberg,middle,german
76.2,38.5,17.4,0.84,70.1,13.8,49.5,39.5,4.9,2.9,2.6,99.72,0.23,0.04,0,11,17,7,60.1,0.5,976,Berne,Aarwangen,middle,german
69.4,31.9,18.6,4.66,78.2,22.9,27.3,43.4,11.3,7.5,9.7,96.45,2.95,0.24,0.05,22,12,16,44.7,3.9,890,Berne,Berne,middle,german
66,31.5,22,13.43,74.6,11,6.3,70.9,9.2,8,3.8,71.94,26.98,0.95,0,24,12,17,31.2,5.6,903,Berne,Biel,low,german
77.5,42.7,18,1.38,71.7,11,52.5,38.2,3.4,2.7,3,98.51,1.35,0.14,0,14,11,5,59.6,0.5,998,Berne,Bueren,low,german
73.5,36.6,15.9,1.01,67.3,20,51.5,35.9,5.6,3.7,2.8,99.5,0.4,0.05,0,17,17,9,49.5,0.9,971,Berne,Burgdorf,middle,german
80.2,41.8,22.2,9.96,68.5,9.6,21.7,67.7,4.1,3,2.4,28.41,70.72,0.83,0.02,15,18,12,49,2.9,984,Berne,Courtelary,middle,french
83.1,38.5,22.2,84.84,76.7,18.6,51.1,30.6,4.5,6.6,3.7,25.17,74.36,0.42,0.03,6,44,9,60.9,3.9,977,Berne,Delemont,low,french
79.1,41.8,18.5,0.9,72.8,8.4,74.6,18.4,1.8,1.4,3.5,98.24,1.59,0.15,0,15,14,4,63.6,0.5,1093,Berne,Erlach,low,german
92.5,41.9,20.2,93.4,77.1,17.2,43.8,46.7,3.6,1.9,2.7,5.46,94.29,0.25,0,5,40,5,59.4,4.8,1020,Berne,Franches-Mnt,middle,french
76.7,39.3,18.7,0.62,71.5,16.7,61.1,31,2.3,2.4,2.8,99.77,0.21,0.01,0.01,15,11,12,51.9,0.6,1054,Berne,Fraubrunnen,middle,german
84,38.9,14.8,0.16,70.9,14.9,70.2,20.2,3,3.4,3,99.84,0.15,0.01,0,7,27,3,81.8,0.3,984,Berne,Frutigen,middle,german
74.9,36,16.1,1.25,73.8,12.4,52.5,22.2,5.3,7,11.9,99.44,0.27,0.16,0,11,17,7,77.6,1.1,1009,Berne,Interlaken,middle,german
77.1,37.6,15.1,0.19,72.4,16.2,63.9,28.4,3.6,1.7,2.2,99.75,0.25,0,0,14,15,8,47.5,0.2,1030,Berne,Konolfingen,middle,german
77.4,30,21.9,92.43,86.8,17.6,46.6,40.4,4.7,3.7,4,98.06,1.7,0.22,0.02,10,23,14,70.3,3.7,940,Berne,Laufen,low,german
75.8,39.3,18.1,0.59,72.1,14.1,68.6,25.5,2.3,1,2.3,99.27,0.69,0.03,0,12,13,8,58.8,0.4,1031,Berne,Laupen,middle,german
85.8,40.2,20.3,33.77,75.7,13.2,41.6,49.8,2.5,3.1,2.7,38.09,61.04,0.8,0.04,12,33,7,51.1,3.5,991,Berne,Moutier,middle,french
76.9,35.1,20.6,5.16,73.3,6,49.9,38.7,3.8,2.9,3.9,25.73,72.79,1.1,0,17,16,15,54.5,3.2,959,Berne,Neuveville,low,french
77.7,45.2,18.1,2.93,59.2,10.8,47.5,39.8,2.8,7.2,2.4,93.92,5.82,0.25,0,18,11,11,50.9,1.1,1006,Berne,Nidau,low,german
72.8,30,12.4,1.15,83.9,18.4,63.2,18.3,2.8,4.3,11,99.53,0.21,0.25,0,13,19,5,79.9,0.6,1020,Berne,Oberhasle,middle,german
76.1,37.9,26.6,90.57,72.5,16.7,40.7,46.5,4.6,3.4,3.9,7.09,92.34,0.52,0.01,9,35,7,63.5,9.3,994,Berne,Porrentruy,low,french
72.1,37.7,15.7,0.31,67.6,5.9,73.6,17.8,2,3.1,2.9,99.27,0.73,0,0,10,25,11,77.6,0.5,1045,Berne,Saanan,high,german
86.7,45.7,16.2,0.15,64.9,14.4,74,20.3,2.9,0.8,2,99.95,0.05,0,0,7,28,4,76.7,0.1,1015,Berne,Schwarznburg,middle,german
80.8,40.3,16.3,0.19,74.5,22,71.3,22.9,2.4,1.2,2.1,99.73,0.24,0.03,0,8,23,5,59.3,0.2,1019,Berne,Seftigen,middle,german
81,41.3,15.8,0.19,68.5,15.9,65.2,26.1,4.2,1.7,2.3,99.8,0.16,0.03,0,8,23,7,60.1,0.2,1036,Berne,Signau,middle,german
76.8,33,13.4,0.2,84.6,17.4,69.7,21.7,3.2,2.5,2.9,99.61,0.29,0,0,16,15,8,69.7,0.8,964,Berne,N.~Simmental,middle,german
74.6,35.1,13.2,0.45,72.6,14.8,73,18.1,3.1,2.5,3.2,99.67,0.29,0.04,0,7,20,7,81.2,0.4,992,Berne,O.~Simmental,middle,german
79.1,37.1,15.8,1.28,75.3,17.3,51.8,33.7,4.5,4.7,4.7,99.06,0.51,0.31,0,14,20,7,57.9,1.3,997,Berne,Thun,middle,german
77.6,38.7,16.2,0.2,70.5,16.9,60.8,33,2.6,1.3,2.1,99.87,0.12,0.01,0,8,25,6,61.3,0.1,1028,Berne,Trachselwald,middle,german
76.4,39.5,16.8,0.87,67.5,16.5,55.2,35,4.2,2.7,2.8,99.52,0.45,0.02,0,16,13,11,60.9,0.5,957,Berne,Wangen,low,german
86,34.9,16.4,96.07,81.7,25.1,77,15.1,3.2,1.8,2.6,99.78,0.12,0.1,0,9,38,10,72.4,0.4,1017,Lucerne,Entelbuch,middle,german
