,iyear,imonth,iday,country_txt,region_txt,city,latitude,longitude,summary,doubtterr,multiple,success,suicide,attacktype1_txt,attacktype2_txt,attacktype3_txt,targtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,corp3,target3,natlty3_txt,gname,gname2,gname3,motive,individual,nperps,nperpcap,claim2,claim3,weaptype1_txt,weaptype2_txt,weaptype3_txt,weaptype4_txt,weapdetail,nkill,nkillter,nwound,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhours,ndays,ransom,ransomamt,ransompaid,ransomnote,hostkidoutcome_txt,nreleased,,
47842,1991,8,22,Croatia,Eastern Europe,Sisak,45.476023,16.368001,,0,0,1,0,Armed Assault,,,Police,Croatian Police,Unit,Yugoslavia,,,,,,,,,Serbian guerrillas,,,,0,NA,NA,NA,NA,Firearms,,,,Automatic firearm,8,NA,20,NA,1,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
126922,2014,2,5,Yemen,Middle East & North Africa,Aden,12.825647,44.846416,"02/05/2014: Assailants hijacked the Akhbar El Youm newspaper delivery vehicle in Aden city, Adan governorate, Yemen. No casualties were reported. No group claimed responsibility for the incident.",0,0,1,0,Hijacking,,,Journalists & Media,Akhbar El Youm Newspaper,Delivery Vehicle,Yemen,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Firearms,,,,,0,0,0,0,-9,NA,,NA,It is unknown if a bus was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
59910,1995,7,24,Guatemala,Central America & Caribbean,Guatemala City,14.622869,-90.529068,,0,0,1,0,Armed Assault,,,Educational Institution,Government,San Carlos University,Guatemala,,,,,,,,,Guatemalan National Revolutionary Unity (URNG),,,,0,30,NA,NA,NA,Firearms,,,,Firearm,0,NA,0,NA,1,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
4586,1977,3,9,United Kingdom,Western Europe,Caledon,54.351322,-6.837455,,1,0,1,0,Assassination,,,Military,Ulster Defence Regiment,"John Reid, Protestant",Northern Ireland,,,,,,,,,Irish Republican Army (IRA),,,,0,NA,NA,NA,NA,Firearms,,,,Firearm,1,NA,NA,NA,0,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
124686,2013,12,16,Yemen,Middle East & North Africa,Sanaa,15.325443,44.211895,"12/16/2013: Assailants attempted to abduct the son of the head media representative for the Al-Islah Party in Sanaa city, Amanat Al-Asimah governorate, Yemen. The victim was able to stave off the attempt. No group claimed responsibility for the attack.",0,0,0,0,Hostage Taking (Kidnapping),,,Private Citizens & Property,Islamic Reform Group (Islah),Son of Media Office Head,Yemen,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Unknown,,,,,0,0,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
49681,1992,1,4,United Kingdom,Western Europe,Blackpool,53.814165,-3.053514,,1,0,0,0,Bombing/Explosion,,,Military,military,Weston Barracks,Great Britain,,,,,,,,,Irish Republican Army (IRA),,,,0,NA,NA,NA,NA,Explosives,,,,Explosive,0,NA,0,NA,1,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
117219,2013,5,17,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,"05/17/2013: An explosive device detonated outside the home of a Sunni member of parliament in Al-Jamia area, Baghdad city, Baghdad governorate, Iraq. Two bodyguards were injured in the blast. No group claimed responsibility for the incident.",0,0,0,0,Assassination,,,Government (General),Council of Representatives of Iraq,Residence of Member: Ahmed al-Massari,Iraq,,,,,,,,,Unknown,,,"The specific motive is unknown; however, sources noted that the incident occurred amid a recent wave of sectarian violence between Iraq's minority Sunni and majority Shia communities.",0,-99,0,NA,NA,Explosives,,,,Explosives were used in the attack.,0,0,2,0,1,3,Minor (likely < $1 million),-99,A civilian home was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
147046,2015,4,20,Turkey,Middle East & North Africa,Aritis,38.347285,36.819234,"04/20/2015: An assailant stabbed Suca Gennem in Pinarbasi neighborhood, Aritis town, Kahramanmaras province, Turkey. Gennem, a Syrian teacher, was killed in the assault. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack and stated that Gennem was killed because the group believed he was a spy.",0,0,1,0,Armed Assault,,,Educational Institution,Unknown,Teacher: Suca Gennem,Syria,,,,,,,,,Islamic State of Iraq and the Levant (ISIL),,,The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident and stated that Suca Gennem was targeted because ISIL believed he was a spy.,0,-99,0,NA,NA,Melee,,,,,1,0,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
104842,2012,1,3,Pakistan,South Asia,Dera Bugti,29.034412,69.158661,"01/03/2012: A gas pipeline was blown up in Dera Bugti district, Balochistan province, Pakistan. The pipeline was damaged, and a fire started where the explosive device detonated. No group claimed responsibility for the attack.",0,0,1,0,Bombing/Explosion,,,Utilities,Unknown,Gas Pipeline,Pakistan,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,,0,0,0,0,1,4,Unknown,-99,A gas pipeline was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
144134,2015,2,8,Ukraine,Eastern Europe,Debaltseve,48.346134,38.424828,"02/08/2015: Assailants fired projectiles that landed and detonated in Debaltseve city, Donetsk oblast, Ukraine. Seven people were killed between this and an unrelated attack in Avdiivka city on February 8, 2015. The Donetsk People's Republic claimed responsibility for the incident.",0,0,1,0,Bombing/Explosion,,,Private Citizens & Property,Debaltseve Town,Town,Ukraine,,,,,,,,,Donetsk People's Republic,,,,0,-99,0,NA,NA,Explosives,,,,Artillery was used in the attack.,4,0,NA,0,-9,NA,,NA,It is unknown if any property was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
168703,2016,10,30,Somalia,Sub-Saharan Africa,Goof Gaduud,3.312293,43.47213,"10/30/2016: Assailants attacked a military base in Goof Gaduud, Bay, Somalia. At least eight assailants and four soldiers were killed while three assailants and seven soldiers were injured in the ensuing clash. Al-Shabaab claimed responsibility for the incident.",1,0,1,0,Armed Assault,,,Military,Somali Armed Forces (SAF),Base,Somalia,,,,,,,,,Al-Shabaab,,,,0,-99,0,NA,NA,Explosives,Firearms,,,Rocket-propelled grenades (RPGs) and AK-47 assault rifles were used in the attack.,12,8,10,3,1,3,Minor (likely < $1 million),-99,Houses were damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
86889,2008,5,14,Spain,Western Europe,Leon,42.599876,-5.571752,"05/14/2008: On Wednesday, an improvised explosive device, a letter bomb, detonated and wounded the civilian at an architect's office who opened it in Leon, Castilla y Leon, Spain.  No group claimed responsibility.",0,0,1,0,Bombing/Explosion,,,Business,,An architect's office,Spain,,,,,,,,,Unknown,,,The specific motive for the attack is unknown.,0,-99,0,NA,NA,Explosives,,,,An improvised explosive device was used in the attack.,0,0,1,0,-9,4,Unknown,NA,It Is unknown if the attack caused any property damage.,0,NA,NA,NA,NA,NA,NA,,,NA,,
117374,2013,5,21,Iraq,Middle East & North Africa,Abu Ghraib,33.31065,44.038208,"05/21/2013: An explosive device detonated at a police observation post in Abu Ghraib city, Baghdad governorate, Iraq. Four police officers were injured in the blast. No group claimed responsibility for the incident.",0,0,1,0,Bombing/Explosion,,,Police,Iraqi Police Service (IPS),Post,Iraq,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,,0,0,4,0,1,3,Minor (likely < $1 million),-99,An observation post was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
123271,2013,11,11,Yemen,Middle East & North Africa,Radaa district,14.416667,44.833333,"11/11/2013: An explosive device detonated near a stationary shop in Ahram area, Rada district, Bayda governorate, Yemen. Two people were wounded by the blast. No group claimed responsibility for the incident.",0,0,1,0,Bombing/Explosion,,,Business,Unknown,Stationery shop,Yemen,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,,0,0,2,0,1,3,Minor (likely < $1 million),-99,A stationary shop was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
20491,1983,12,15,South Africa,Sub-Saharan Africa,Johannesburg,-26.184113,28.033232,,0,0,1,0,Bombing/Explosion,,,Government (General),,Office of Department of Community Development,South Africa,,,,,,,,,African National Congress (South Africa),,,,0,NA,NA,NA,NA,Explosives,,,,Explosive,0,NA,0,NA,1,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
153798,2015,10,4,India,South Asia,Bande,19.927524,80.563288,"10/04/2015: A 10-kilogram explosive device was discovered and defused in Bande area, Kanker district, Chhattisgarh state, India. This was one of two similar incidents that occurred in Kanker on the same date. No group claimed responsibility for the incidents.",0,1,0,0,Bombing/Explosion,,,Unknown,Unknown,Unknown,India,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,A 10-kilogram explosive device was used in the attack.,0,0,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
174037,2017,4,19,Thailand,Southeast Asia,Poryoh,6.385287,101.701136,"04/19/2017: Assailants threw a grenade at a Territorial Defense Volunteers (TDV) base in Poryoh, Narathiwat, Thailand. There were no reported casualties in the blast. This was one of 21 coordinated attacks across southern Thailand on this date. No group claimed responsibility for the incidents.",0,1,1,0,Bombing/Explosion,,,Police,Territorial Defense Volunteers (TDV),Base,Thailand,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,,0,0,0,0,-9,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
117126,2013,5,14,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,"05/14/2013: Gunmen attacked a row of liquor stores in Zayona district, Baghdad city, Baghdad governorate, Iraq. At least 12 people were killed and another three people were injured in the attack. No group claimed responsibility for the incident; however, sources speculate that Muslim fundamentalists were involved.",0,0,1,0,Armed Assault,,,Business,Unknown,Liquor Stores,Iraq,,,,,,,,,Muslim extremists,,,"The specific motive is unknown; however, sources noted that the attack targeted liquor stores and that Muslim fundamentalists consider alcohol forbidden by Islam.",0,-99,0,NA,NA,Firearms,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,Multiple suppressed firearms and four SUVs were used in the attack .,12,0,3,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
24683,1985,3,27,United Kingdom,Western Europe,Belfast,54.607712,-5.95621,,1,0,1,0,Bombing/Explosion,,,Military,,British Army Patrol,Great Britain,,,,,,,,,Irish Republican Army (IRA),,,,0,NA,NA,NA,NA,Firearms,Explosives,,,Automatic firearm, Explosive,1,NA,0,NA,1,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,
