fertility,fertTotal,infantMort,catholic,single24,single49,eAgric,eIndustry,eCommerce,eTransport,eAdmin,german,french,italian
48,22.4,16.4,7.74,80.5,16.2,60.9,31.5,3.4,1.9,2.1,99.63,0.26,0.1
62.5,29.2,16.3,6.68,85,19.3,66.7,26,1.8,2.3,3,99.71,0.13,0.05
65.5,30.3,20.2,2.78,83.3,15.1,57.3,34.1,2.7,3.2,2.6,99.82,0.07,0.07
61.5,32.9,20.7,3.98,78,8.5,71.7,22.1,1.4,2.1,2.7,99.53,0.19,0.26
51.5,25.1,19.2,9.58,76.7,12.3,36,55.9,3,3.1,1.9,99.39,0.14,0.44
52.4,23.3,20,11.18,80.2,19.9,33.7,52.8,5.7,4.7,2.5,98.83,0.39,0.65
48.6,21.6,16.8,5.48,81.1,19.8,52.5,35.7,4.8,4,2.8,99.03,0.32,0.47
53.3,24.8,21.3,2.52,80.5,11.1,51.6,39.7,2.8,3.6,2.1,99.67,0.09,0.2
53,23.5,19.6,5.22,81.7,15.2,52.1,38.9,3.2,3.5,2.2,99.3,0.16,0.53
57,28,17.7,10.17,81.5,10.4,28.9,56.2,6.2,5.1,3.2,98.69,0.45,0.55
54.5,25.5,19.4,20.72,82.9,16.9,12.8,50.9,17.4,10.9,7.2,96.6,1.26,1.07
81.7,42.8,18.3,0.36,72.1,13.7,62.5,29.4,3,2,3,99.4,0.58,0.02
76.2,38.5,17.4,0.84,70.1,13.8,49.5,39.5,4.9,2.9,2.6,99.72,0.23,0.04
69.4,31.9,18.6,4.66,78.2,22.9,27.3,43.4,11.3,7.5,9.7,96.45,2.95,0.24
66,31.5,22,13.43,74.6,11,6.3,70.9,9.2,8,3.8,71.94,26.98,0.95
77.5,42.7,18,1.38,71.7,11,52.5,38.2,3.4,2.7,3,98.51,1.35,0.14
73.5,36.6,15.9,1.01,67.3,20,51.5,35.9,5.6,3.7,2.8,99.5,0.4,0.05
80.2,41.8,22.2,9.96,68.5,9.6,21.7,67.7,4.1,3,2.4,28.41,70.72,0.83
83.1,38.5,22.2,84.84,76.7,18.6,51.1,30.6,4.5,6.6,3.7,25.17,74.36,0.42
79.1,41.8,18.5,0.9,72.8,8.4,74.6,18.4,1.8,1.4,3.5,98.24,1.59,0.15
92.5,41.9,20.2,93.4,77.1,17.2,43.8,46.7,3.6,1.9,2.7,5.46,94.29,0.25
76.7,39.3,18.7,0.62,71.5,16.7,61.1,31,2.3,2.4,2.8,99.77,0.21,0.01
84,38.9,14.8,0.16,70.9,14.9,70.2,20.2,3,3.4,3,99.84,0.15,0.01
74.9,36,16.1,1.25,73.8,12.4,52.5,22.2,5.3,7,11.9,99.44,0.27,0.16
77.1,37.6,15.1,0.19,72.4,16.2,63.9,28.4,3.6,1.7,2.2,99.75,0.25,0
77.4,30,21.9,92.43,86.8,17.6,46.6,40.4,4.7,3.7,4,98.06,1.7,0.22
75.8,39.3,18.1,0.59,72.1,14.1,68.6,25.5,2.3,1,2.3,99.27,0.69,0.03
85.8,40.2,20.3,33.77,75.7,13.2,41.6,49.8,2.5,3.1,2.7,38.09,61.04,0.8
76.9,35.1,20.6,5.16,73.3,6,49.9,38.7,3.8,2.9,3.9,25.73,72.79,1.1
77.7,45.2,18.1,2.93,59.2,10.8,47.5,39.8,2.8,7.2,2.4,93.92,5.82,0.25
72.8,30,12.4,1.15,83.9,18.4,63.2,18.3,2.8,4.3,11,99.53,0.21,0.25
76.1,37.9,26.6,90.57,72.5,16.7,40.7,46.5,4.6,3.4,3.9,7.09,92.34,0.52
72.1,37.7,15.7,0.31,67.6,5.9,73.6,17.8,2,3.1,2.9,99.27,0.73,0
86.7,45.7,16.2,0.15,64.9,14.4,74,20.3,2.9,0.8,2,99.95,0.05,0
80.8,40.3,16.3,0.19,74.5,22,71.3,22.9,2.4,1.2,2.1,99.73,0.24,0.03
81,41.3,15.8,0.19,68.5,15.9,65.2,26.1,4.2,1.7,2.3,99.8,0.16,0.03
76.8,33,13.4,0.2,84.6,17.4,69.7,21.7,3.2,2.5,2.9,99.61,0.29,0
74.6,35.1,13.2,0.45,72.6,14.8,73,18.1,3.1,2.5,3.2,99.67,0.29,0.04
79.1,37.1,15.8,1.28,75.3,17.3,51.8,33.7,4.5,4.7,4.7,99.06,0.51,0.31
77.6,38.7,16.2,0.2,70.5,16.9,60.8,33,2.6,1.3,2.1,99.87,0.12,0.01
76.4,39.5,16.8,0.87,67.5,16.5,55.2,35,4.2,2.7,2.8,99.52,0.45,0.02
86,34.9,16.4,96.07,81.7,25.1,77,15.1,3.2,1.8,2.6,99.78,0.12,0.1
67,27.4,15.6,98.56,87.3,19.7,68.6,23.3,3.4,0.2,2.6,99.81,0.06,0.12
57.4,24.4,16.7,90.91,80.7,21.5,33.5,38.8,9.9,11.6,5.4,97.88,0.84,1.03
67.9,26.9,16.4,97.71,83.6,24,69.5,22.2,3.2,1.6,3.2,99.9,0.03,0.04
77.5,32.2,17.3,91.54,82,23.3,73.9,19.2,2.8,1.2,2.8,99.81,0.13,0.04
92.8,35.3,19,97.83,84,28.3,64,14.9,5.1,11.8,2.9,98.71,0.12,1.07
69,28.6,17.9,99.25,81.9,17.8,42,38.2,8.2,4.5,4.7,98.99,0.46,0.39
78.6,32.8,18.2,97.83,75.3,22.8,43.8,33.9,9.6,5.6,3.2,98.65,0.76,0.43
65.9,29.2,23.1,94.78,81.2,16.2,59.7,27.8,4.8,5.1,1.8,99.13,0.02,0.66
63.2,29.7,14.1,98.19,78.1,18.1,57.5,32.9,4.4,3,1.7,99.86,0.1,0.03
69.9,31.8,20.6,96.91,76.7,14.6,60.6,27.5,4.4,4.5,2.1,99.35,0.05,0.51
74.4,30.5,16.3,98.7,80.2,23.2,60.6,23.9,5.4,5.9,3.8,98.35,0.44,1.05
76.1,29.3,12.7,97.76,85.3,25.3,66.7,18.8,2.9,8.5,3,97.73,0.2,1.99
76.3,32.6,15.1,99.09,78.1,24.7,53.1,27,5.9,10.7,3,96.63,0.11,3.21
48.6,24.2,18.8,23.07,67.6,13.7,28.2,58.3,5.2,4.6,3.5,98.92,0.15,0.61
62.5,25.1,17.1,93.91,81.8,19.7,47.3,39.6,4.6,4.6,3.4,98.78,0.54,0.52
83.8,41.4,23.6,92.85,75.7,21.8,75.2,16.6,2.3,2.4,3.1,6.59,93.25,0.15
92.4,39,24.9,97.16,82.2,25.8,73.2,17.8,2.9,2.7,2.9,2.95,96.8,0.24
82.4,36.2,21,97.67,77.8,26.7,64.6,22.6,4.2,3.3,3.5,6.92,92.45,0.61
82.9,33.3,24.4,91.38,79.6,26.5,51.9,28.4,5.5,6.3,6.6,22.68,76.89,0.36
82.6,40.7,22.2,25.77,77,18.8,79.8,15.7,1.1,1.7,1.7,70.74,29.1,0.07
97,40.2,18.9,81.51,78.4,28,68.9,23.5,2.8,1.4,3,95.54,4.41,0.03
87.1,36.9,24.5,98.61,77.6,23,73.9,19.9,1.9,1.5,2.5,1.3,98.23,0.46
