"Jahr","Partei","ParteiNr","Wahlkreis","WahlkreisSort","Stimmenanteil"
1913,"SP",1,"Stadt Zürich",0,39.1
1913,"BGB/SVP",2,"Stadt Zürich",0,
1913,"FDP",3,"Stadt Zürich",0,38.6
1913,"GPS",4,"Stadt Zürich",0,
1913,"GLP",5,"Stadt Zürich",0,
1913,"CVP/Die Mitte",6,"Stadt Zürich",0,7.9
1913,"AL",7,"Stadt Zürich",0,
1913,"EVP",8,"Stadt Zürich",0,
1913,"Demokraten",9,"Stadt Zürich",0,14.4
1913,"LDU",15,"Stadt Zürich",0,
1916,"SP",1,"Stadt Zürich",0,43.9
1916,"BGB/SVP",2,"Stadt Zürich",0,
1916,"FDP",3,"Stadt Zürich",0,33.9
1916,"GPS",4,"Stadt Zürich",0,
1916,"GLP",5,"Stadt Zürich",0,
1916,"CVP/Die Mitte",6,"Stadt Zürich",0,8.6
1916,"AL",7,"Stadt Zürich",0,
1916,"EVP",8,"Stadt Zürich",0,
1916,"Demokraten",9,"Stadt Zürich",0,13.6
1916,"LDU",15,"Stadt Zürich",0,
1919,"SP",1,"Stadt Zürich",0,43.1
1919,"BGB/SVP",2,"Stadt Zürich",0,
1919,"FDP",3,"Stadt Zürich",0,30
1919,"GPS",4,"Stadt Zürich",0,
1919,"GLP",5,"Stadt Zürich",0,
1919,"CVP/Die Mitte",6,"Stadt Zürich",0,7.8
1919,"AL",7,"Stadt Zürich",0,
1919,"EVP",8,"Stadt Zürich",0,
1919,"Demokraten",9,"Stadt Zürich",0,10.6
1919,"LDU",15,"Stadt Zürich",0,
1922,"SP",1,"Stadt Zürich",0,31.2
1922,"BGB/SVP",2,"Stadt Zürich",0,
1922,"FDP",3,"Stadt Zürich",0,28.9
1922,"GPS",4,"Stadt Zürich",0,
1922,"GLP",5,"Stadt Zürich",0,
1922,"CVP/Die Mitte",6,"Stadt Zürich",0,9.1
1922,"AL",7,"Stadt Zürich",0,
1922,"EVP",8,"Stadt Zürich",0,2.6
1922,"Demokraten",9,"Stadt Zürich",0,10.3
1922,"LDU",15,"Stadt Zürich",0,
1925,"SP",1,"Stadt Zürich",0,39.2
1925,"BGB/SVP",2,"Stadt Zürich",0,
1925,"FDP",3,"Stadt Zürich",0,26.9
1925,"GPS",4,"Stadt Zürich",0,
1925,"GLP",5,"Stadt Zürich",0,
1925,"CVP/Die Mitte",6,"Stadt Zürich",0,10.1
1925,"AL",7,"Stadt Zürich",0,
1925,"EVP",8,"Stadt Zürich",0,2.7
1925,"Demokraten",9,"Stadt Zürich",0,9.2
1925,"LDU",15,"Stadt Zürich",0,
1928,"SP",1,"Stadt Zürich",0,44.2
1928,"BGB/SVP",2,"Stadt Zürich",0,
1928,"FDP",3,"Stadt Zürich",0,29.9
1928,"GPS",4,"Stadt Zürich",0,
1928,"GLP",5,"Stadt Zürich",0,
1928,"CVP/Die Mitte",6,"Stadt Zürich",0,9.6
1928,"AL",7,"Stadt Zürich",0,
1928,"EVP",8,"Stadt Zürich",0,10.2
1928,"Demokraten",9,"Stadt Zürich",0,10.2
1928,"LDU",15,"Stadt Zürich",0,
1931,"SP",1,"Stadt Zürich",0,47.4
1931,"BGB/SVP",2,"Stadt Zürich",0,
1931,"FDP",3,"Stadt Zürich",0,25.5
1931,"GPS",4,"Stadt Zürich",0,
1931,"GLP",5,"Stadt Zürich",0,
1931,"CVP/Die Mitte",6,"Stadt Zürich",0,9.8
1931,"AL",7,"Stadt Zürich",0,
1931,"EVP",8,"Stadt Zürich",0,3
