"Jahr","QNr","Qname","Sberechtigte","Nteilnehmende","teilnehmende","Beteiligung"
2006,11,"Rathaus (Kreis 1)",1974,1186,788,39.9
2006,12,"Hochschulen (Kreis 1)",377,232,145,38.5
2006,13,"Lindenhof (Kreis 1)",1335,962,373,27.9
2006,14,"City (Kreis 1)",597,440,157,26.3
2006,21,"Wollishofen (Kreis 2)",10115,6168,3947,39
2006,23,"Leimbach (Kreis 2)",3123,1997,1126,36.1
2006,24,"Enge (Kreis 2)",5093,3209,1884,37
2006,31,"Alt-Wiedikon (Kreis 3)",8358,5555,2803,33.5
2006,33,"Friesenberg (Kreis 3)",6005,3804,2201,36.7
2006,34,"Sihlfeld (Kreis 3)",10821,7643,3178,29.4
2006,41,"Werd (Kreis 4)",2138,1540,598,28
2006,42,"Langstrasse (Kreis 4)",5220,3842,1378,26.4
2006,44,"Hard (Kreis 4)",5712,4196,1516,26.5
2006,51,"Gewerbeschule (Kreis 5)",5011,3510,1501,30
2006,52,"Escher Wyss (Kreis 5)",1712,1196,516,30.1
2006,61,"Unterstrass (Kreis 6)",12149,7497,4652,38.3
2006,63,"Oberstrass (Kreis 6)",5699,3237,2462,43.2
2006,71,"Fluntern (Kreis 7)",4521,2581,1940,42.9
2006,72,"Hottingen (Kreis 7)",6362,3776,2586,40.7
2006,73,"Hirslanden (Kreis 7)",4679,2855,1824,39
2006,74,"Witikon (Kreis 7)",6984,3914,3070,44
2006,81,"Seefeld (Kreis 8)",3018,1976,1042,34.5
2006,82,"Mühlebach (Kreis 8)",3498,2183,1315,37.6
2006,83,"Weinegg (Kreis 8)",2870,1783,1087,37.9
2006,91,"Albisrieden (Kreis 9)",11070,7171,3899,35.2
2006,92,"Altstetten (Kreis 9)",15172,10480,4692,30.9
2006,101,"Höngg (Kreis 10)",14058,8305,5753,40.9
2006,102,"Wipkingen (Kreis 10)",9021,5809,3212,35.6
2006,111,"Affoltern (Kreis 11)",10399,7087,3312,31.9
2006,115,"Oerlikon (Kreis 11)",10340,6808,3532,34.2
2006,119,"Seebach (Kreis 11)",10142,7167,2975,29.3
2006,121,"Saatlen (Kreis 12)",3425,2432,993,29
2006,122,"Schwamendingen-Mitte (Kreis 12)",5060,3535,1525,30.1
2006,123,"Hirzenbach (Kreis 12)",5565,3920,1645,29.6
2010,11,"Rathaus (Kreis 1)",1852,1055,797,43
2010,12,"Hochschulen (Kreis 1)",350,206,144,41.1
2010,13,"Lindenhof (Kreis 1)",1200,818,382,31.8
2010,14,"City (Kreis 1)",674,521,153,22.7
2010,21,"Wollishofen (Kreis 2)",10037,5907,4130,41.2
2010,23,"Leimbach (Kreis 2)",3234,2000,1234,38.2
2010,24,"Enge (Kreis 2)",4953,3031,1922,38.8
2010,31,"Alt-Wiedikon (Kreis 3)",8714,4739,3975,45.6
2010,33,"Friesenberg (Kreis 3)",6357,3362,2995,47.1
2010,34,"Sihlfeld (Kreis 3)",11289,6888,4401,39
2010,41,"Werd (Kreis 4)",2222,1285,937,42.2
2010,42,"Langstrasse (Kreis 4)",5430,3285,2145,39.5
2010,44,"Hard (Kreis 4)",6106,3902,2204,36.1
2010,51,"Gewerbeschule (Kreis 5)",5441,3101,2340,43
2010,52,"Escher Wyss (Kreis 5)",1953,983,970,49.7
2010,61,"Unterstrass (Kreis 6)",12337,6140,6197,50.2
2010,63,"Oberstrass (Kreis 6)",5815,2604,3211,55.2
2010,71,"Fluntern (Kreis 7)",4439,1881,2558,57.6
2010,72,"Hottingen (Kreis 7)",6183,2847,3336,54
2010,73,"Hirslanden (Kreis 7)",4554,2202,2352,51.7
2010,74,"Witikon (Kreis 7)",6913,3057,3856,55.8
