"SteuerJahr","KreisSort","KreisLang","SteuerTarifSort","SteuerTarifLang","SteuerEinkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
1999,1,"Kreis 1",0,"Grundtarif",37.8,17.4,64.8
1999,1,"Kreis 1",1,"Verheiratetentarif",83.4,52,130.2
1999,1,"Kreis 1",2,"Einelternfamilientarif",46.7,26.05,87.05
1999,2,"Kreis 2",0,"Grundtarif",37.9,19.9,58.2
1999,2,"Kreis 2",1,"Verheiratetentarif",69.7,49.1,101.4
1999,2,"Kreis 2",2,"Einelternfamilientarif",39.2,21.9,58.9
1999,3,"Kreis 3",0,"Grundtarif",32.8,17.7,50
1999,3,"Kreis 3",1,"Verheiratetentarif",58.9,40.4,80
1999,3,"Kreis 3",2,"Einelternfamilientarif",33.05,18.05,45.85
1999,4,"Kreis 4",0,"Grundtarif",29.1,14.8,46.2
1999,4,"Kreis 4",1,"Verheiratetentarif",51.6,34.9,70.8
1999,4,"Kreis 4",2,"Einelternfamilientarif",30.1,14.3,44.8
1999,5,"Kreis 5",0,"Grundtarif",32.9,16.3,50
1999,5,"Kreis 5",1,"Verheiratetentarif",54,37.1,74
1999,5,"Kreis 5",2,"Einelternfamilientarif",30.4,16.9,47
1999,6,"Kreis 6",0,"Grundtarif",38.1,19.5,59.5
1999,6,"Kreis 6",1,"Verheiratetentarif",70,48.5,104.1
1999,6,"Kreis 6",2,"Einelternfamilientarif",37.9,21.9,58.9
1999,7,"Kreis 7",0,"Grundtarif",41.7,18.4,66.2
1999,7,"Kreis 7",1,"Verheiratetentarif",90.8,58.4,149.5
1999,7,"Kreis 7",2,"Einelternfamilientarif",45.65,26,72.8
1999,8,"Kreis 8",0,"Grundtarif",40.85,20.1,62.8
1999,8,"Kreis 8",1,"Verheiratetentarif",77.4,51.1,120.5
1999,8,"Kreis 8",2,"Einelternfamilientarif",41.15,24.5,60.65
1999,9,"Kreis 9",0,"Grundtarif",34,19,50
1999,9,"Kreis 9",1,"Verheiratetentarif",59.1,44,80.5
1999,9,"Kreis 9",2,"Einelternfamilientarif",34.05,18.3,47
1999,10,"Kreis 10",0,"Grundtarif",38.5,20,57.3
1999,10,"Kreis 10",1,"Verheiratetentarif",69,49.6,98.4
1999,10,"Kreis 10",2,"Einelternfamilientarif",37.7,20.65,54.15
1999,11,"Kreis 11",0,"Grundtarif",33.8,18.4,50
1999,11,"Kreis 11",1,"Verheiratetentarif",60,42.2,81.9
1999,11,"Kreis 11",2,"Einelternfamilientarif",34,19.8,49.2
1999,12,"Kreis 12",0,"Grundtarif",28.4,15.7,43.1
1999,12,"Kreis 12",1,"Verheiratetentarif",55.1,40,72.1
1999,12,"Kreis 12",2,"Einelternfamilientarif",30.3,15,42.7
2000,1,"Kreis 1",0,"Grundtarif",40.5,18.35,69
2000,1,"Kreis 1",1,"Verheiratetentarif",89.7,54.4,140.6
2000,1,"Kreis 1",2,"Einelternfamilientarif",53.75,26.8,92
2000,2,"Kreis 2",0,"Grundtarif",39.2,20.05,60.7
2000,2,"Kreis 2",1,"Verheiratetentarif",72.6,51.1,106.6
2000,2,"Kreis 2",2,"Einelternfamilientarif",41,23.2,59.5
2000,3,"Kreis 3",0,"Grundtarif",34.7,18.5,52.3
2000,3,"Kreis 3",1,"Verheiratetentarif",60.3,42,82.1
2000,3,"Kreis 3",2,"Einelternfamilientarif",33.8,17.5,48.3
2000,4,"Kreis 4",0,"Grundtarif",30.3,15.5,48.5
2000,4,"Kreis 4",1,"Verheiratetentarif",53.9,36,72.1
2000,4,"Kreis 4",2,"Einelternfamilientarif",31.85,14.55,46.1
2000,5,"Kreis 5",0,"Grundtarif",35.1,18.3,53.7
2000,5,"Kreis 5",1,"Verheiratetentarif",56.5,40.1,77.2
2000,5,"Kreis 5",2,"Einelternfamilientarif",33.9,21.2,45.9
2000,6,"Kreis 6",0,"Grundtarif",39.7,20.2,62
2000,6,"Kreis 6",1,"Verheiratetentarif",74.3,51.1,112.1
2000,6,"Kreis 6",2,"Einelternfamilientarif",40,23.1,58.1
2000,7,"Kreis 7",0,"Grundtarif",43.3,19.4,69.7
2000,7,"Kreis 7",1,"Verheiratetentarif",97.8,61.2,164.9
2000,7,"Kreis 7",2,"Einelternfamilientarif",50.1,29.2,82
2000,8,"Kreis 8",0,"Grundtarif",43.55,21.4,67
