"SteuerJahr","KreisSort","KreisLang","SteuerTarifSort","SteuerTarifLang","SteuerVermoegen_p50","SteuerVermoegen_p25","SteuerVermoegen_p75"
1999,1,"Kreis 1",0,"Grundtarif",23,0,174
1999,1,"Kreis 1",1,"Verheiratetentarif",182,22,711
1999,1,"Kreis 1",2,"Einelternfamilientarif",27.5,0,283
1999,2,"Kreis 2",0,"Grundtarif",37,3,186
1999,2,"Kreis 2",1,"Verheiratetentarif",148,33,458
1999,2,"Kreis 2",2,"Einelternfamilientarif",7,0,61
1999,3,"Kreis 3",0,"Grundtarif",18,0,97
1999,3,"Kreis 3",1,"Verheiratetentarif",58,0,212
1999,3,"Kreis 3",2,"Einelternfamilientarif",0,0,29.5
1999,4,"Kreis 4",0,"Grundtarif",6,0,50
1999,4,"Kreis 4",1,"Verheiratetentarif",9,0,100
1999,4,"Kreis 4",2,"Einelternfamilientarif",0,0,12
1999,5,"Kreis 5",0,"Grundtarif",7,0,53
1999,5,"Kreis 5",1,"Verheiratetentarif",15,0,115
1999,5,"Kreis 5",2,"Einelternfamilientarif",0,0,33
1999,6,"Kreis 6",0,"Grundtarif",38,3,175
1999,6,"Kreis 6",1,"Verheiratetentarif",145,27,460
1999,6,"Kreis 6",2,"Einelternfamilientarif",17,0,94.5
1999,7,"Kreis 7",0,"Grundtarif",57,6,303
1999,7,"Kreis 7",1,"Verheiratetentarif",307,72,1104
1999,7,"Kreis 7",2,"Einelternfamilientarif",35,0,156.5
1999,8,"Kreis 8",0,"Grundtarif",35,2,185
1999,8,"Kreis 8",1,"Verheiratetentarif",184.5,28,658
1999,8,"Kreis 8",2,"Einelternfamilientarif",18,0,109.5
1999,9,"Kreis 9",0,"Grundtarif",23,0,117
1999,9,"Kreis 9",1,"Verheiratetentarif",84,4,261
1999,9,"Kreis 9",2,"Einelternfamilientarif",1,0,30
1999,10,"Kreis 10",0,"Grundtarif",34,1,162
1999,10,"Kreis 10",1,"Verheiratetentarif",124,18,412
1999,10,"Kreis 10",2,"Einelternfamilientarif",11,0,63.5
1999,11,"Kreis 11",0,"Grundtarif",19,0,101
1999,11,"Kreis 11",1,"Verheiratetentarif",77,4,256
1999,11,"Kreis 11",2,"Einelternfamilientarif",3,0,38
1999,12,"Kreis 12",0,"Grundtarif",16,0,77
1999,12,"Kreis 12",1,"Verheiratetentarif",49,0,186
1999,12,"Kreis 12",2,"Einelternfamilientarif",0,0,20
2000,1,"Kreis 1",0,"Grundtarif",26,0,179
2000,1,"Kreis 1",1,"Verheiratetentarif",187.5,26,768
2000,1,"Kreis 1",2,"Einelternfamilientarif",30,0,298
2000,2,"Kreis 2",0,"Grundtarif",38,3,194
2000,2,"Kreis 2",1,"Verheiratetentarif",149,30,474
2000,2,"Kreis 2",2,"Einelternfamilientarif",8,0,74
2000,3,"Kreis 3",0,"Grundtarif",19,0,98
2000,3,"Kreis 3",1,"Verheiratetentarif",55,0,216
2000,3,"Kreis 3",2,"Einelternfamilientarif",1,0,30
2000,4,"Kreis 4",0,"Grundtarif",7,0,51
2000,4,"Kreis 4",1,"Verheiratetentarif",9,0,93
2000,4,"Kreis 4",2,"Einelternfamilientarif",0,0,15
2000,5,"Kreis 5",0,"Grundtarif",9,0,57
2000,5,"Kreis 5",1,"Verheiratetentarif",19,0,123
2000,5,"Kreis 5",2,"Einelternfamilientarif",0,0,29
2000,6,"Kreis 6",0,"Grundtarif",38,3,177
2000,6,"Kreis 6",1,"Verheiratetentarif",145,27,476
2000,6,"Kreis 6",2,"Einelternfamilientarif",21,0,102
2000,7,"Kreis 7",0,"Grundtarif",58,8,308
2000,7,"Kreis 7",1,"Verheiratetentarif",323,77,1146
2000,7,"Kreis 7",2,"Einelternfamilientarif",34,0,176
2000,8,"Kreis 8",0,"Grundtarif",38,3,199.5
2000,8,"Kreis 8",1,"Verheiratetentarif",194.5,31,664
2000,8,"Kreis 8",2,"Einelternfamilientarif",27,0,131.5
2000,9,"Kreis 9",0,"Grundtarif",22,0,115
2000,9,"Kreis 9",1,"Verheiratetentarif",81,2,266
2000,9,"Kreis 9",2,"Einelternfamilientarif",2,0,33
2000,10,"Kreis 10",0,"Grundtarif",33,2,161
2000,10,"Kreis 10",1,"Verheiratetentarif",131,19,427
2000,10,"Kreis 10",2,"Einelternfamilientarif",10,0,61
2000,11,"Kreis 11",0,"Grundtarif",18,0,99
2000,11,"Kreis 11",1,"Verheiratetentarif",74,3,256.5
2000,11,"Kreis 11",2,"Einelternfamilientarif",3,0,39
2000,12,"Kreis 12",0,"Grundtarif",15,0,77
2000,12,"Kreis 12",1,"Verheiratetentarif",49,0,186
2000,12,"Kreis 12",2,"Einelternfamilientarif",0,0,20
2001,1,"Kreis 1",0,"Grundtarif",27,0,165
2001,1,"Kreis 1",1,"Verheiratetentarif",183,31.5,758.5
2001,1,"Kreis 1",2,"Einelternfamilientarif",43.5,3,326
2001,2,"Kreis 2",0,"Grundtarif",38,4,186
2001,2,"Kreis 2",1,"Verheiratetentarif",152,30,470
2001,2,"Kreis 2",2,"Einelternfamilientarif",10,0,71.5
2001,3,"Kreis 3",0,"Grundtarif",20,0,97
2001,3,"Kreis 3",1,"Verheiratetentarif",56,0,214
2001,3,"Kreis 3",2,"Einelternfamilientarif",3,0,35
2001,4,"Kreis 4",0,"Grundtarif",8,0,53
2001,4,"Kreis 4",1,"Verheiratetentarif",8,0,91
2001,4,"Kreis 4",2,"Einelternfamilientarif",0,0,14
2001,5,"Kreis 5",0,"Grundtarif",10,0,61
2001,5,"Kreis 5",1,"Verheiratetentarif",19,0,133
2001,5,"Kreis 5",2,"Einelternfamilientarif",0,0,33
2001,6,"Kreis 6",0,"Grundtarif",39,4,170
2001,6,"Kreis 6",1,"Verheiratetentarif",148,29,471
2001,6,"Kreis 6",2,"Einelternfamilientarif",25,0,108
2001,7,"Kreis 7",0,"Grundtarif",61.5,8,305
2001,7,"Kreis 7",1,"Verheiratetentarif",318,73,1091
2001,7,"Kreis 7",2,"Einelternfamilientarif",34.5,0,178.5
2001,8,"Kreis 8",0,"Grundtarif",40.5,3,193
2001,8,"Kreis 8",1,"Verheiratetentarif",200,34,661
2001,8,"Kreis 8",2,"Einelternfamilientarif",29.5,0,152.5
2001,9,"Kreis 9",0,"Grundtarif",22,0,112
2001,9,"Kreis 9",1,"Verheiratetentarif",78,1,261
2001,9,"Kreis 9",2,"Einelternfamilientarif",1,0,31
2001,10,"Kreis 10",0,"Grundtarif",34,2,161
2001,10,"Kreis 10",1,"Verheiratetentarif",134,22,429
2001,10,"Kreis 10",2,"Einelternfamilientarif",13,0,70
2001,11,"Kreis 11",0,"Grundtarif",19,0,99
2001,11,"Kreis 11",1,"Verheiratetentarif",73,2,253.63
2001,11,"Kreis 11",2,"Einelternfamilientarif",3,0,39
2001,12,"Kreis 12",0,"Grundtarif",16,0,80
2001,12,"Kreis 12",1,"Verheiratetentarif",47,0,183
2001,12,"Kreis 12",2,"Einelternfamilientarif",0.5,0,21.5
2002,1,"Kreis 1",0,"Grundtarif",27,0,172
2002,1,"Kreis 1",1,"Verheiratetentarif",183,23,664
2002,1,"Kreis 1",2,"Einelternfamilientarif",37.5,3,218.5
2002,2,"Kreis 2",0,"Grundtarif",36,3,172
2002,2,"Kreis 2",1,"Verheiratetentarif",150,28,446
2002,2,"Kreis 2",2,"Einelternfamilientarif",10,0,77
2002,3,"Kreis 3",0,"Grundtarif",19,0,94
2002,3,"Kreis 3",1,"Verheiratetentarif",54,0,205
2002,3,"Kreis 3",2,"Einelternfamilientarif",2,0,36
2002,4,"Kreis 4",0,"Grundtarif",6,0,51
2002,4,"Kreis 4",1,"Verheiratetentarif",6,0,86
2002,4,"Kreis 4",2,"Einelternfamilientarif",0,0,15.5
2002,5,"Kreis 5",0,"Grundtarif",10,0,61
2002,5,"Kreis 5",1,"Verheiratetentarif",19,0,135.2
2002,5,"Kreis 5",2,"Einelternfamilientarif",0,0,32
2002,6,"Kreis 6",0,"Grundtarif",38,4,161
2002,6,"Kreis 6",1,"Verheiratetentarif",140,25,461
2002,6,"Kreis 6",2,"Einelternfamilientarif",23,0,121
2002,7,"Kreis 7",0,"Grundtarif",58,7,286
2002,7,"Kreis 7",1,"Verheiratetentarif",300,71,1041
2002,7,"Kreis 7",2,"Einelternfamilientarif",42,1,197
2002,8,"Kreis 8",0,"Grundtarif",38,2,179
2002,8,"Kreis 8",1,"Verheiratetentarif",192,33,663
2002,8,"Kreis 8",2,"Einelternfamilientarif",24.5,0,126
2002,9,"Kreis 9",0,"Grundtarif",21,0,109
2002,9,"Kreis 9",1,"Verheiratetentarif",71,0,251
2002,9,"Kreis 9",2,"Einelternfamilientarif",1,0,31
2002,10,"Kreis 10",0,"Grundtarif",33,2,150
2002,10,"Kreis 10",1,"Verheiratetentarif",127,19,415
2002,10,"Kreis 10",2,"Einelternfamilientarif",13,0,68
2002,11,"Kreis 11",0,"Grundtarif",17,0,94
2002,11,"Kreis 11",1,"Verheiratetentarif",68,1,243.5
2002,11,"Kreis 11",2,"Einelternfamilientarif",3,0,37
2002,12,"Kreis 12",0,"Grundtarif",14,0,78
2002,12,"Kreis 12",1,"Verheiratetentarif",42,0,173
2002,12,"Kreis 12",2,"Einelternfamilientarif",0,0,19
2003,1,"Kreis 1",0,"Grundtarif",29,0,185
2003,1,"Kreis 1",1,"Verheiratetentarif",196,21,733
2003,1,"Kreis 1",2,"Einelternfamilientarif",39,0,195
2003,2,"Kreis 2",0,"Grundtarif",35,3,183
2003,2,"Kreis 2",1,"Verheiratetentarif",153,26,472
2003,2,"Kreis 2",2,"Einelternfamilientarif",12,0,85
2003,3,"Kreis 3",0,"Grundtarif",20,0,98
2003,3,"Kreis 3",1,"Verheiratetentarif",52,0,214
2003,3,"Kreis 3",2,"Einelternfamilientarif",2,0,36
2003,4,"Kreis 4",0,"Grundtarif",6,0,53
2003,4,"Kreis 4",1,"Verheiratetentarif",6,0,89
2003,4,"Kreis 4",2,"Einelternfamilientarif",0,0,15
2003,5,"Kreis 5",0,"Grundtarif",10.5,0,68
2003,5,"Kreis 5",1,"Verheiratetentarif",21,0,146
2003,5,"Kreis 5",2,"Einelternfamilientarif",1,0,43.5
2003,6,"Kreis 6",0,"Grundtarif",40,4,172
2003,6,"Kreis 6",1,"Verheiratetentarif",151,27,492
2003,6,"Kreis 6",2,"Einelternfamilientarif",25,0,126
2003,7,"Kreis 7",0,"Grundtarif",60,7,305
2003,7,"Kreis 7",1,"Verheiratetentarif",326,76,1122
2003,7,"Kreis 7",2,"Einelternfamilientarif",41,0,222
2003,8,"Kreis 8",0,"Grundtarif",41,2,196
2003,8,"Kreis 8",1,"Verheiratetentarif",198.5,34,720
2003,8,"Kreis 8",2,"Einelternfamilientarif",31,1,125
2003,9,"Kreis 9",0,"Grundtarif",21,0,114
2003,9,"Kreis 9",1,"Verheiratetentarif",73,1,263
2003,9,"Kreis 9",2,"Einelternfamilientarif",2,0,33
2003,10,"Kreis 10",0,"Grundtarif",33,2,159
2003,10,"Kreis 10",1,"Verheiratetentarif",140,22,451
2003,10,"Kreis 10",2,"Einelternfamilientarif",13.5,0,71
2003,11,"Kreis 11",0,"Grundtarif",18,0,96
2003,11,"Kreis 11",1,"Verheiratetentarif",69,0,249
2003,11,"Kreis 11",2,"Einelternfamilientarif",2,0,32
2003,12,"Kreis 12",0,"Grundtarif",14,0,78
2003,12,"Kreis 12",1,"Verheiratetentarif",42,0,175
2003,12,"Kreis 12",2,"Einelternfamilientarif",0,0,19.5
2004,1,"Kreis 1",0,"Grundtarif",27,0,186.5
2004,1,"Kreis 1",1,"Verheiratetentarif",199,33,794
2004,1,"Kreis 1",2,"Einelternfamilientarif",65,0,280
2004,2,"Kreis 2",0,"Grundtarif",35,2,184
2004,2,"Kreis 2",1,"Verheiratetentarif",152,25,483
2004,2,"Kreis 2",2,"Einelternfamilientarif",13,0,81
2004,3,"Kreis 3",0,"Grundtarif",20,0,100
2004,3,"Kreis 3",1,"Verheiratetentarif",52,0,216
2004,3,"Kreis 3",2,"Einelternfamilientarif",2.5,0,39
2004,4,"Kreis 4",0,"Grundtarif",6,0,54
2004,4,"Kreis 4",1,"Verheiratetentarif",4,0,86
2004,4,"Kreis 4",2,"Einelternfamilientarif",0,0,17
2004,5,"Kreis 5",0,"Grundtarif",13,0,73
2004,5,"Kreis 5",1,"Verheiratetentarif",20,0,156
2004,5,"Kreis 5",2,"Einelternfamilientarif",2,0,46
2004,6,"Kreis 6",0,"Grundtarif",41,4,178
2004,6,"Kreis 6",1,"Verheiratetentarif",152,26,489
2004,6,"Kreis 6",2,"Einelternfamilientarif",25,0,117
2004,7,"Kreis 7",0,"Grundtarif",61,7,317
2004,7,"Kreis 7",1,"Verheiratetentarif",337,79,1144
2004,7,"Kreis 7",2,"Einelternfamilientarif",42,0,222
2004,8,"Kreis 8",0,"Grundtarif",40,2,204
2004,8,"Kreis 8",1,"Verheiratetentarif",201,35,707
2004,8,"Kreis 8",2,"Einelternfamilientarif",36,0,176
2004,9,"Kreis 9",0,"Grundtarif",20,0,112
2004,9,"Kreis 9",1,"Verheiratetentarif",69,0,262
2004,9,"Kreis 9",2,"Einelternfamilientarif",1,0,32
2004,10,"Kreis 10",0,"Grundtarif",34,2,161
2004,10,"Kreis 10",1,"Verheiratetentarif",144,21,460
2004,10,"Kreis 10",2,"Einelternfamilientarif",13,0,76
2004,11,"Kreis 11",0,"Grundtarif",18,0,99
2004,11,"Kreis 11",1,"Verheiratetentarif",66,0,254.5
2004,11,"Kreis 11",2,"Einelternfamilientarif",3,0,34
2004,12,"Kreis 12",0,"Grundtarif",13,0,78
2004,12,"Kreis 12",1,"Verheiratetentarif",37,0,171
2004,12,"Kreis 12",2,"Einelternfamilientarif",0,0,14
2005,1,"Kreis 1",0,"Grundtarif",34,0,208
2005,1,"Kreis 1",1,"Verheiratetentarif",234,32,881
2005,1,"Kreis 1",2,"Einelternfamilientarif",28,0,177
2005,2,"Kreis 2",0,"Grundtarif",37,3,195
